user_id,elec
H001,289.43067901091376
H002,338.38590209054706
H003,321.2912753706752
H004,289.222653979146
H005,355.45006906618374
H006,289.1891347070002
H007,338.2003117676006
H008,321.36846444611484
H009,289.3177861428287
H010,289.2415149892036
H011,206.20747978252416
H012,289.37683546373114
H013,338.3007450291254
H014,289.31342264334285
H015,321.2058307875692
H016,338.38242793082617
H017,321.28405401768975
H018,338.1979718850072
H019,321.2463112714404
H020,321.2432389444211
H021,206.22678864534205
H022,338.42091799523484
H023,289.19269218153204
H024,355.44011261405274
H025,289.28378289125527
H026,321.4717907975509
H027,338.41796619589684
H028,338.3431314122289
H029,289.23519436038794
H030,321.56484841482086
H031,426.6898521890029
H032,206.17524685945432
H033,338.26864331971944
H034,321.3810240439126
H035,321.2948542386611
H036,321.36190153073824
H037,338.45926789951136
H038,321.36877791764664
H039,289.2553419456062
H040,289.3377453137177
H041,338.2840097209697
H042,206.1136105142883
H043,321.3178132416467
H044,206.2549696477727
H045,289.24420426064336
H046,338.2638497662722
H047,355.29835265354524
H048,289.2439217767753
H049,321.4265239519662
H050,289.3701378273547
H051,321.2462154064152
H052,206.18292727164553
H053,321.2899225003599
H054,338.3922146723247
H055,338.2688066090773
H056,289.2533181711891
H057,289.2321886805566
H058,464.4653085902686
H059,338.13684470049003
H060,355.362757261171
H061,338.45968739609225
H062,206.2382710110413
H063,206.23599615558504
H064,321.27309330726655
H065,289.3779342795035
H066,289.24187033704374
H067,338.2852877129637
H068,388.4063977032554
H069,289.1843687216604
H070,338.23882123994554
H071,321.43059625807996
H072,289.16142024664555
H073,206.27844445560208
H074,355.30476571542096
H075,338.2003133679683
H076,392.4121175173495
H077,289.3802787195683
H078,206.24592860847218
H079,321.49278101912165
H080,289.3001448656286
H081,206.25026551984357
H082,321.29688328788995
H083,206.20058711671498
H084,338.18981002384646
H085,289.18748375060363
H086,321.23881882076194
H087,338.2407948087042
H088,206.20454921609996
H089,338.3954607551041
H090,206.17437848947972
H091,355.3750886266621
H092,338.40380027420326
H093,289.19905724226084
H094,206.21778502212314
H095,321.3611510741758
H096,338.2771263152516
H097,321.35311515740693
H098,289.1349528573497
H099,321.3358174559893
H100,289.35504840059485
